NOMBREDD;NOMBREPP;NOMBREDI;PNP;MUNI;PJ;MPFN
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS; ; ; ; 
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;1;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;0;1;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;0;0;0;0
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;0;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS; ; ; ; 
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1;1;1;1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;3;1;0;0
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;0;0;0;0
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;2;2;2;2
