Departamento;Provincia;Distrito;P69_2_T;P70A_1_1;P70A_2_1;P70A_3_1;P70A_4_1;P70A_5_1
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;34;3;7; ; ; 
AMAZONAS;CHACHAPOYAS;ASUNCION; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;BALSAS; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;CHETO;2; ;1; ; ; 
AMAZONAS;CHACHAPOYAS;CHILIQUIN; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;GRANADA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;HUANCAS; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;LA JALCA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;LEIMEBAMBA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;LEVANTO; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;MAGDALENA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;MOLINOPAMPA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;MONTEVIDEO; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;OLLEROS; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;QUINJALCA; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;SOLOCO; ; ; ; ; ; 
AMAZONAS;CHACHAPOYAS;SONCHE; ; ; ; ; ; 
AMAZONAS;BAGUA;BAGUA;15;3;6; ; ; 
AMAZONAS;BAGUA;ARAMANGO; ; ; ; ; ; 
AMAZONAS;BAGUA;COPALLIN; ; ; ; ; ; 
AMAZONAS;BAGUA;EL PARCO; ; ; ; ; ; 
AMAZONAS;BAGUA;IMAZA; ; ; ; ; ; 
AMAZONAS;BAGUA;LA PECA; ; ; ; ; ; 
AMAZONAS;BONGARA;JUMBILLA; ; ; ; ; ; 
AMAZONAS;BONGARA;CHISQUILLA; ; ; ; ; ; 
AMAZONAS;BONGARA;CHURUJA; ; ; ; ; ; 
AMAZONAS;BONGARA;COROSHA; ; ; ; ; ; 
AMAZONAS;BONGARA;CUISPES; ; ; ; ; ; 
AMAZONAS;BONGARA;FLORIDA; ; ; ; ; ; 
AMAZONAS;BONGARA;JAZAN;2; ;6; ; ; 
AMAZONAS;BONGARA;RECTA; ; ; ; ; ; 
AMAZONAS;BONGARA;SAN CARLOS; ; ; ; ; ; 
AMAZONAS;BONGARA;SHIPASBAMBA;1; ; ; ; ; 
AMAZONAS;BONGARA;VALERA; ; ; ; ; ; 
AMAZONAS;BONGARA;YAMBRASBAMBA; ; ; ; ; ; 
AMAZONAS;CONDORCANQUI;NIEVA;5;1; ; ; ; 
AMAZONAS;CONDORCANQUI;EL CENEPA;6; ; ; ; ; 
AMAZONAS;CONDORCANQUI;RIO SANTIAGO; ; ; ; ; ; 
AMAZONAS;LUYA;LAMUD; ; ; ; ; ; 
AMAZONAS;LUYA;CAMPORREDONDO; ; ; ; ; ; 
AMAZONAS;LUYA;COCABAMBA; ; ; ; ; ; 
AMAZONAS;LUYA;COLCAMAR; ; ; ; ; ; 
AMAZONAS;LUYA;CONILA; ; ; ; ; ; 
AMAZONAS;LUYA;INGUILPATA; ; ; ; ; ; 
AMAZONAS;LUYA;LONGUITA; ; ; ; ; ; 
AMAZONAS;LUYA;LONYA CHICO; ; ; ; ; ; 
AMAZONAS;LUYA;LUYA; ; ; ; ; ; 
AMAZONAS;LUYA;LUYA VIEJO; ; ; ; ; ; 
AMAZONAS;LUYA;MARIA; ; ; ; ; ; 
AMAZONAS;LUYA;OCALLI; ; ; ; ; ; 
AMAZONAS;LUYA;OCUMAL; ; ; ; ; ; 
AMAZONAS;LUYA;PISUQUIA; ; ; ; ; ; 
AMAZONAS;LUYA;PROVIDENCIA; ; ; ; ; ; 
AMAZONAS;LUYA;SAN CRISTOBAL; ; ; ; ; ; 
AMAZONAS;LUYA;SAN FRANCISCO DEL YESO; ; ; ; ; ; 
AMAZONAS;LUYA;SAN JERONIMO; ; ; ; ; ; 
AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA; ; ; ; ; ; 
AMAZONAS;LUYA;SANTA CATALINA; ; ; ; ; ; 
AMAZONAS;LUYA;SANTO TOMAS; ; ; ; ; ; 
AMAZONAS;LUYA;TINGO; ; ; ; ; ; 
AMAZONAS;LUYA;TRITA; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;6;3;1; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;3; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;3;1;1; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA; ; ; ; ; ; 
AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE; ; ; ; ; ; 
AMAZONAS;UTCUBAMBA;BAGUA GRANDE;40;4;4; ; ; 
AMAZONAS;UTCUBAMBA;CAJARURO;12;1;1; ; ; 
AMAZONAS;UTCUBAMBA;CUMBA; ; ; ; ; ; 
AMAZONAS;UTCUBAMBA;EL MILAGRO; ; ; ; ; ; 
AMAZONAS;UTCUBAMBA;JAMALCA; ; ; ; ; ; 
AMAZONAS;UTCUBAMBA;LONYA GRANDE; ; ; ; ; ; 
AMAZONAS;UTCUBAMBA;YAMON; ; ; ; ; ; 
ANCASH;HUARAZ;HUARAZ;50;9;18;12; ; 
ANCASH;HUARAZ;COCHABAMBA;5; ;1; ; ; 
ANCASH;HUARAZ;COLCABAMBA;3; ;2; ; ; 
ANCASH;HUARAZ;HUANCHAY;10;1;3; ; ; 
ANCASH;HUARAZ;INDEPENDENCIA;45;7;6; ; ; 
ANCASH;HUARAZ;JANGAS;7;2;6; ; ; 
ANCASH;HUARAZ;LA LIBERTAD;4; ;1; ; ; 
ANCASH;HUARAZ;OLLEROS; ; ; ; ; ; 
ANCASH;HUARAZ;PAMPAS GRANDE; ; ; ; ; ; 
ANCASH;HUARAZ;PARIACOTO;9;1;1; ; ; 
ANCASH;HUARAZ;PIRA;8;1;4; ; ; 
ANCASH;HUARAZ;TARICA;6;1; ; ; ; 
ANCASH;AIJA;AIJA; ; ; ; ; ; 
ANCASH;AIJA;CORIS;1; ;1; ; ; 
ANCASH;AIJA;HUACLLAN;2; ; ; ; ; 
ANCASH;AIJA;LA MERCED;1;1;1; ; ; 
ANCASH;AIJA;SUCCHA;4; ; ; ; ; 
ANCASH;ANTONIO RAYMONDI;LLAMELLIN;8; ; ; ; ; 
ANCASH;ANTONIO RAYMONDI;ACZO;1; ; ; ; ; 
ANCASH;ANTONIO RAYMONDI;CHACCHO;3; ; ; ; ; 
ANCASH;ANTONIO RAYMONDI;CHINGAS;2; ; ; ; ; 
ANCASH;ANTONIO RAYMONDI;MIRGAS;3; ; ; ; ; 
ANCASH;ANTONIO RAYMONDI;SAN JUAN DE RONTOY;1; ; ; ; ; 
ANCASH;ASUNCION;CHACAS;5; ;1; ; ; 
ANCASH;ASUNCION;ACOCHACA;4; ;2; ; ; 
ANCASH;BOLOGNESI;CHIQUIAN;2; ; ; ; ; 
ANCASH;BOLOGNESI;ABELARDO PARDO LEZAMETA;4; ; ; ; ; 
ANCASH;BOLOGNESI;ANTONIO RAYMONDI; ; ; ; ; ; 
ANCASH;BOLOGNESI;AQUIA;3; ; ; ; ; 
ANCASH;BOLOGNESI;CAJACAY;2;1;1; ; ; 
ANCASH;BOLOGNESI;CANIS;2; ; ; ; ; 
ANCASH;BOLOGNESI;COLQUIOC;1; ;1; ; ; 
ANCASH;BOLOGNESI;HUALLANCA;12; ;1; ; ; 
ANCASH;BOLOGNESI;HUASTA; ; ; ; ; ; 
ANCASH;BOLOGNESI;HUAYLLACAYAN; ; ; ; ; ; 
ANCASH;BOLOGNESI;LA PRIMAVERA;2; ; ; ; ; 
ANCASH;BOLOGNESI;MANGAS; ; ; ; ; ; 
ANCASH;BOLOGNESI;PACLLON;4; ;1;1; ; 
ANCASH;BOLOGNESI;SAN MIGUEL DE CORPANQUI;1; ; ; ; ; 
ANCASH;BOLOGNESI;TICLLOS; ; ; ; ; ; 
ANCASH;CARHUAZ;CARHUAZ;10;1;5; ; ; 
ANCASH;CARHUAZ;ACOPAMPA;4;1;4; ; ; 
ANCASH;CARHUAZ;AMASHCA;3; ; ; ; ; 
ANCASH;CARHUAZ;ANTA; ; ; ; ; ; 
ANCASH;CARHUAZ;ATAQUERO;2; ; ; ; ; 
ANCASH;CARHUAZ;MARCARA;9;1; ; ; ; 
ANCASH;CARHUAZ;PARIAHUANCA; ; ; ; ; ; 
ANCASH;CARHUAZ;SAN MIGUEL DE ACO; ; ; ; ; ; 
ANCASH;CARHUAZ;SHILLA;1;1;1; ; ; 
ANCASH;CARHUAZ;TINCO;3;1; ; ; ; 
ANCASH;CARHUAZ;YUNGAR; ; ; ; ; ; 
ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUIS;12;1; ; ; ; 
ANCASH;CARLOS FERMIN FITZCARRALD;SAN NICOLAS;4; ; ; ; ; 
ANCASH;CARLOS FERMIN FITZCARRALD;YAUYA;4;1;1; ; ; 
ANCASH;CASMA;CASMA;40;5;8; ; ; 
ANCASH;CASMA;BUENA VISTA ALTA;12;1;5; ; ; 
ANCASH;CASMA;COMANDANTE NOEL; ; ; ; ; ; 
ANCASH;CASMA;YAUTAN;10;1;3; ; ; 
ANCASH;CORONGO;CORONGO;2; ; ; ; ; 
ANCASH;CORONGO;ACO; ; ; ; ; ; 
ANCASH;CORONGO;BAMBAS; ; ; ; ; ; 
ANCASH;CORONGO;CUSCA;2; ; ; ; ; 
ANCASH;CORONGO;LA PAMPA; ; ; ; ; ; 
ANCASH;CORONGO;YANAC; ; ; ; ; ; 
ANCASH;CORONGO;YUPAN;2; ; ; ; ; 
ANCASH;HUARI;HUARI;58;5;3; ; ; 
ANCASH;HUARI;ANRA;4; ; ; ; ; 
ANCASH;HUARI;CAJAY;6;1;1; ; ; 
ANCASH;HUARI;CHAVIN DE HUANTAR;23;2;3; ; ; 
ANCASH;HUARI;HUACACHI;6;1;2;2;2; 
ANCASH;HUARI;HUACCHIS;2;1;2; ; ; 
ANCASH;HUARI;HUACHIS;9;1;2; ; ; 
ANCASH;HUARI;HUANTAR;12;1; ; ; ; 
ANCASH;HUARI;MASIN;7; ;2; ; ; 
ANCASH;HUARI;PAUCAS;2;1; ; ; ; 
ANCASH;HUARI;PONTO;6;1; ; ; ; 
ANCASH;HUARI;RAHUAPAMPA;4; ; ; ; ; 
ANCASH;HUARI;RAPAYAN;3; ; ; ; ; 
ANCASH;HUARI;SAN MARCOS;29;2;8; ; ; 
ANCASH;HUARI;SAN PEDRO DE CHANA;10;2;3; ; ; 
ANCASH;HUARI;UCO;4;1; ; ; ; 
ANCASH;HUARMEY;HUARMEY;24;4;5;2; ; 
ANCASH;HUARMEY;COCHAPETI;1; ; ; ; ; 
ANCASH;HUARMEY;CULEBRAS;2; ;2; ; ; 
ANCASH;HUARMEY;HUAYAN;1; ; ; ; ; 
ANCASH;HUARMEY;MALVAS;4; ;1; ; ; 
ANCASH;HUAYLAS;CARAZ;36;3;9; ; ; 
ANCASH;HUAYLAS;HUALLANCA;2; ;2; ; ; 
ANCASH;HUAYLAS;HUATA;5;1;2; ; ; 
ANCASH;HUAYLAS;HUAYLAS;2; ;2; ; ; 
ANCASH;HUAYLAS;MATO;2; ; ; ; ; 
ANCASH;HUAYLAS;PAMPAROMAS;6; ;2; ; ; 
