UBICACION,num_comisarias,personal,area_com,old_com,com_internet,nreu_codisec,juntas,per_juntas,redes,per_redes,n_patru,n_pat_int,serenazgos,n_vehi,conf_pnp,conf_muni,conf_pj,conf_mpfn,Poblacion,ANIO,denuncias
AMAZONAS+UTCUBAMBA+CUMBA,2,16,510,77,2,7,6,60,2,20,180,0,18,0,2.17,1.96,2.11,2.13,8819,2019,1
AMAZONAS+UTCUBAMBA+EL MILAGRO,1,9,230,15,1,7,9,129,2,20,65,0,7,0,2.28,2.58,1.82,1.76,6471,2019,
AMAZONAS+UTCUBAMBA+JAMALCA,2,18,322,79,2,14,3,10,0,0,204,0,4,0,1.96,2.04,1.28,1.27,7269,2019,
AMAZONAS+UTCUBAMBA+LONYA GRANDE,1,10,120,36,1,10,0,0,0,0,6,0,14,0,2.25,1.94,2.06,2.1,11182,2019,
ANCASH+AIJA+AIJA,1,14,231,19,1,6,8,80,1,5,195,0,4,0,1.89,1.85,1.48,1.53,2175,2019,2
ANCASH+ANTONIO RAYMONDI+LLAMELLIN,1,11,382,11,1,11,3,36,0,0,6,3,2,0,2.08,1.82,1.48,1.47,3446,2019,
ANCASH+ASUNCION+CHACAS,1,16,198,60,1,12,3,30,4,8,18,15,8,1,2.21,1.77,1.6,1.67,4825,2019,1
ANCASH+BOLOGNESI+CAJACAY,1,15,279,41,0,8,0,0,0,0,7,0,5,1,2.26,2.25,2.21,2.21,1856,2019,
ANCASH+BOLOGNESI+CHIQUIAN,1,17,145,21,1,4,0,10,0,0,6,40,2,0,1.83,1.89,1.78,1.67,4095,2019,
ANCASH+BOLOGNESI+COLQUIOC,1,16,210,21,1,10,11,111,2,3,60,0,6,0,2.22,2,1.63,1.73,2404,2019,
ANCASH+BOLOGNESI+HUALLANCA,1,12,900,31,1,6,3,30,0,0,148,0,9,0,1.72,2.06,1.28,1.28,6610,2019,1
ANCASH+CARHUAZ+ANTA,1,16,219,23,1,10,10,100,2,4,156,0,4,0,2.03,2.21,1.57,1.57,2579,2019,
ANCASH+CARHUAZ+CARHUAZ,1,29,209,47,1,12,0,0,0,0,600,270,16,6,2.53,2.29,1.71,1.71,16428,2019,
ANCASH+CARHUAZ+MARCARA,1,18,132,45,1,10,9,94,1,6,0,0,7,2,1.3,1.31,1.22,1.38,10593,2019,
ANCASH+CARLOS FERMIN FITZCARRALD+SAN LUIS,1,14,180,21,1,11,0,0,0,0,135,30,10,1,2.44,2.25,2.12,2.12,4257,2019,1
ANCASH+CASMA+CASMA,1,92,657,25,1,40,40,430,2,22,630,90,41,11,2.59,2.64,2.59,2.59,39286,2019,6
ANCASH+CASMA+YAUTAN,1,20,224,35,1,10,1,10,1,10,4,20,9,4,2.22,2.15,1.96,1.96,9002,2019,
ANCASH+CORONGO+CORONGO,1,11,425,20,1,13,2,40,1,8,50,0,1,0,1.66,1.64,1.55,1.61,1792,2019,
ANCASH+CORONGO+LA PAMPA,1,12,140,46,1,9,6,60,2,2,180,0,1,2,1.82,1.78,1.69,1.76,1084,2019,
ANCASH+HUARAZ+HUARAZ,3,164,1094,84,3,27,64,653,4,15,32,14,46,36,1.98,1.78,1.53,1.54,67418,2019,19
ANCASH+HUARAZ+INDEPENDENCIA,1,27,500,19,1,12,25,276,8,8,240,4,39,17,1.91,1.8,1.59,1.62,84931,2019,7
ANCASH+HUARAZ+PARIACOTO,1,18,135,25,1,25,8,80,0,0,180,0,12,7,1.18,1.31,1.2,1.14,5163,2019,
ANCASH+HUARAZ+PIRA,1,13,204,39,1,40,3,32,2,4,8,20,8,4,2.08,2.05,1.58,1.57,3518,2019,
ANCASH+HUARAZ+TARICA,1,17,250,40,1,20,8,80,1,2,75,8,7,1,2.11,2.21,1.82,1.8,7337,2019,
ANCASH+HUARI+CHAVIN DE HUANTAR,1,14,1025,15,1,4,3,6,4,20,29,60,14,3,2.35,2.15,2.05,1.9,8517,2019,1
ANCASH+HUARI+HUARI,1,32,521,10,1,8,8,98,5,15,11,0,27,8,2.36,2.5,2.21,2.07,9806,2019,1
ANCASH+HUARI+MASIN,1,10,555,43,0,11,0,0,0,0,12,1,6,2,1.93,1.67,1.4,1.32,1401,2019,
ANCASH+HUARI+SAN MARCOS,1,15,243,7,0,24,4,49,2,6,26,26,25,0,2.04,2.08,1.82,1.77,18998,2019,
ANCASH+HUARMEY+HUARMEY,1,76,365,40,1,10,8,80,2,15,36,4,23,11,2.06,2.04,1.9,1.9,26644,2019,18
ANCASH+HUAYLAS+CARAZ,1,40,235,23,1,10,5,78,2,15,120,8,22,12,1.8,1.86,1.31,1.34,26663,2019,4
ANCASH+HUAYLAS+HUALLANCA,1,10,167,24,1,12,0,0,0,0,5,4,3,2,1.76,1.68,1.35,1.35,1096,2019,
ANCASH+HUAYLAS+HUAYLAS,1,12,120,6,1,6,4,40,3,10,35,0,1,1,2.5,2.59,2.07,2.07,1712,2019,
ANCASH+HUAYLAS+PAMPAROMAS,1,14,256,25,0,11,2,20,0,0,4,0,9,0,1.84,1.82,1.65,1.69,8577,2019,
ANCASH+MARISCAL LUZURIAGA+PISCOBAMBA,1,12,265,12,1,10,3,30,0,0,24,2,5,0,2.05,1.97,1.78,1.81,3158,2019,
ANCASH+OCROS+OCROS,1,12,303,9,1,5,0,0,0,0,58,0,5,0,1.93,2,2,2.07,1275,2019,
ANCASH+OCROS+SAN CRISTOBAL DE RAJAN,1,9,292,50,0,30,1,11,0,0,5,0,6,0,2.27,2,1.81,1.82,449,2019,
ANCASH+PALLASCA+CABANA,1,17,365,39,1,12,0,0,0,0,8,8,16,1,1.85,1.75,1.41,1.4,2608,2019,
ANCASH+PALLASCA+CONCHUCOS,1,15,138,18,1,10,0,0,0,0,75,3,17,2,1.85,1.58,1.19,1.38,7877,2019,
ANCASH+PALLASCA+PALLASCA,1,16,94,40,0,3,0,0,0,0,3,0,4,0,1.85,1.87,1.45,1.48,2529,2019,
ANCASH+PALLASCA+PAMPAS,1,16,90,47,1,3,2,20,0,0,48,24,20,1,2.36,2.32,2.21,2.21,3902,2019,
ANCASH+PALLASCA+TAUCA,1,13,113,100,1,0,0,0,0,0,66,0,4,1,1.68,1.59,1.47,1.45,2835,2019,
ANCASH+POMABAMBA+POMABAMBA,1,15,280,25,1,9,0,0,0,0,8,4,9,3,1.68,1.62,1.48,1.45,14928,2019,
ANCASH+RECUAY+CATAC,1,16,170,8,1,11,1,16,2,6,8,12,3,1,1.75,1.5,1.27,1.34,4070,2019,
ANCASH+RECUAY+COTAPARACO,1,9,640,36,0,40,0,0,0,0,38,0,9,0,2.15,2.02,1.53,1.56,409,2019,
ANCASH+RECUAY+MARCA,1,13,270,22,0,9,1,50,1,4,60,0,3,1,2.04,1.68,1.72,1.69,1843,2019,
ANCASH+RECUAY+RECUAY,1,25,2400,37,1,9,17,170,4,8,15,6,8,1,1.75,2.03,1.68,1.74,4577,2019,1
ANCASH+SANTA+CACERES DEL PERU,1,14,172,24,1,11,0,0,0,0,90,0,7,2,2.33,2.19,1.84,1.8,4828,2019,
ANCASH+SANTA+CHIMBOTE,7,437,3316,235,7,55,20,203,4,16,1444,262,232,31,2.1,1.95,1.89,1.88,216601,2019,98
ANCASH+SANTA+COISHCO,1,44,682,24,1,20,6,80,1,10,180,36,15,6,1.97,1.82,1.69,1.69,17236,2019,2
ANCASH+SANTA+MACATE,2,27,285,46,1,1,0,0,0,0,82,0,1,0,2.42,2.06,2.05,1.9,3315,2019,
ANCASH+SANTA+MORO,1,15,276,42,1,5,0,0,0,0,90,28,16,5,2.45,2.78,2,2,8576,2019,3
ANCASH+SANTA+NEPENA,2,33,1285,120,1,22,1,10,1,10,117,33,41,3,2.06,1.9,1.94,1.97,14742,2019,
ANCASH+SANTA+NUEVO CHIMBOTE,2,174,576,51,2,15,16,173,2,20,330,150,48,27,2.18,2.12,2.04,2.03,174513,2019,25
ANCASH+SANTA+SAMANCO,1,21,120,24,1,10,1,13,0,0,15,3,12,1,2.21,2.42,1.71,1.71,5129,2019,
ANCASH+SANTA+SANTA,1,60,536,23,1,13,0,0,0,0,1,30,25,7,2.18,2.07,1.62,1.62,22242,2019,15
ANCASH+SIHUAS+SIHUAS,1,19,200,70,1,12,10,10,1,1,21,10,4,1,2.28,2.39,1.95,1.91,5678,2019,1
ANCASH+YUNGAY+MANCOS,1,18,275,42,1,10,8,90,11,37,150,0,8,2,1.89,1.69,1.53,1.54,6904,2019,
ANCASH+YUNGAY+QUILLO,1,14,284,18,0,3,0,0,0,0,43,0,13,0,2,1.63,1.37,1.34,13049,2019,
ANCASH+YUNGAY+YANAMA,1,11,85,30,1,11,3,42,0,0,12,2,4,0,1.82,1.79,1.11,1.12,5476,2019,
ANCASH+YUNGAY+YUNGAY,1,41,349,25,1,10,17,171,15,30,150,31,33,9,2.05,1.93,1.52,1.5,22118,2019,2
APURIMAC+ABANCAY+ABANCAY,3,168,947,45,3,65,36,857,0,0,510,11,20,3,1.74,1.53,1.43,1.46,74800,2019,4
APURIMAC+ABANCAY+CHACOCHE,1,10,445,22,1,6,3,10,0,0,7,0,14,0,2.02,1.88,1.43,1.45,1425,2019,
APURIMAC+ABANCAY+CURAHUASI,1,40,258,12,1,8,15,150,1,12,0,30,2,5,1.91,1.66,1.6,1.72,17127,2019,
APURIMAC+ABANCAY+HUANIPACA,1,10,220,83,1,6,5,50,1,7,61,0,8,0,1.05,1.09,0.79,0.71,2896,2019,
APURIMAC+ABANCAY+LAMBRAMA,1,13,476,51,1,2,0,0,0,0,13,0,8,0,1.92,1.9,1.53,1.54,2953,2019,
APURIMAC+ABANCAY+SAN PEDRO DE CACHORA,1,11,144,86,1,5,5,50,0,0,2,0,6,0,1.47,1.68,1.36,1.23,2568,2019,
APURIMAC+ABANCAY+TAMBURCO,1,43,254,31,1,1,14,140,1,50,90,60,3,5,1.74,1.45,1.42,1.4,11959,2019,
APURIMAC+ANDAHUAYLAS+ANDAHUAYLAS,1,68,90,60,1,7,12,145,3,36,125,90,32,9,1.75,1.68,1.41,1.46,45221,2019,2
APURIMAC+ANDAHUAYLAS+ANDARAPA,1,10,572,34,1,5,1,100,1,3,45,0,10,0,1.85,1.79,1.58,1.56,5655,2019,
APURIMAC+ANDAHUAYLAS+HUANCARAMA,1,10,875,50,1,4,28,280,0,0,6,0,2,1,1.76,1.58,1.76,1.66,5229,2019,
APURIMAC+ANDAHUAYLAS+HUANCARAY,1,10,140,77,1,4,10,120,0,0,4,0,6,0,1.83,1.53,1.26,1.22,3904,2019,
APURIMAC+ANDAHUAYLAS+JOSE MARIA ARGUEDAS,1,12,280,14,1,0,0,0,0,0,28,0,3,0,1.73,1.8,1.48,1.45,4449,2019,
APURIMAC+ANDAHUAYLAS+KISHUARA,1,10,352,13,1,10,9,90,2,12,4,0,3,0,1.98,1.82,1.54,1.52,6234,2019,
APURIMAC+ANDAHUAYLAS+PACUCHA,1,12,371,41,1,2,10,40,0,0,15,0,4,0,2.1,2,1.69,1.74,8514,2019,
APURIMAC+ANDAHUAYLAS+PAMPACHIRI,1,12,124,40,1,2,1,60,0,0,285,0,3,0,2.44,2.14,1.64,1.64,2293,2019,
APURIMAC+ANDAHUAYLAS+SAN ANTONIO DE CACHI,1,10,145,38,1,9,0,0,0,0,150,0,6,0,1.93,1.92,1.57,1.55,3028,2019,
APURIMAC+ANDAHUAYLAS+SAN JERONIMO,1,46,225,18,1,5,0,0,0,0,240,60,6,1,1.9,1.88,1.41,1.49,22184,2019,1
APURIMAC+ANDAHUAYLAS+SANTA MARIA DE CHICMO,1,11,201,10,1,4,8,10,0,0,24,0,8,0,1.92,1.52,1.35,1.23,8674,2019,
APURIMAC+ANDAHUAYLAS+TALAVERA,1,45,282,40,1,6,14,10,1,9,450,26,4,3,1.7,1.64,1.34,1.35,19711,2019,
APURIMAC+ANTABAMBA+ANTABAMBA,1,13,200,3,1,3,0,0,0,0,12,0,4,0,1.72,1.94,1.51,1.45,2895,2019,
APURIMAC+ANTABAMBA+OROPESA,1,12,674,3,1,6,1,80,0,0,18,0,2,0,1.73,1.77,1.37,1.37,2390,2019,
APURIMAC+ANTABAMBA+PACHACONAS,1,11,310,13,1,5,0,0,0,0,45,0,18,0,2.53,2.35,2.21,2.07,1091,2019,
APURIMAC+AYMARAES+CHALHUANCA,1,18,466,19,1,4,0,0,0,0,120,20,10,2,1.73,1.95,1.57,1.55,5164,2019,
APURIMAC+AYMARAES+COTARUSE,1,13,400,16,1,2,2,12,0,0,0,0,3,0,1.82,1.84,1.4,1.48,2598,2019,
APURIMAC+AYMARAES+TAPAIRIHUA,1,11,188,15,1,8,3,24,0,0,4,0,12,0,2.08,1.89,1.43,1.43,1926,2019,
