UBICACION,num_comisarias,personal,area_com,old_com,com_internet,nreu_codisec,juntas,per_juntas,redes,per_redes,n_patru,n_pat_int,serenazgos,n_vehi,conf_pnp,conf_muni,conf_pj,conf_mpfn,Poblacion,ANIO,denuncias
ICA+ICA+ICA,1,191,487,17,1,11,36,380,2,25,162,80,170,52,1.76,1.57,1.32,1.36,164698,2019,27
ICA+ICA+LA TINGUINA,1,55,526,20,1,15,25,10,2,25,150,90,28,7,1.95,1.91,1.45,1.47,44689,2019,6
ICA+ICA+LOS AQUIJES,1,31,1080,24,1,11,12,129,1,43,30,10,14,2,2.02,1.98,1.3,1.37,24761,2019,5
ICA+ICA+OCUCAJE,1,21,412,21,1,11,2,28,0,0,8,8,4,3,2.24,1.85,1.56,1.55,4998,2019,
ICA+ICA+PACHACUTEC,1,24,380,9,1,11,7,93,2,51,180,30,4,4,2.15,1.83,1.56,1.47,8070,2019,
ICA+ICA+PARCONA,1,77,452,52,1,11,22,12,2,25,210,6,35,15,1.66,1.67,1.31,1.32,59294,2019,11
ICA+ICA+PUEBLO NUEVO,1,31,261,22,0,11,7,45,1,33,180,30,5,8,1.83,1.9,1.61,1.66,7220,2019,
ICA+ICA+SALAS,2,47,955,29,2,22,0,0,0,0,99,126,77,10,2.12,1.98,1.42,1.38,29202,2019,
ICA+ICA+SAN JOSE DE LOS MOLINOS,1,23,482,27,1,10,7,78,1,35,320,7,9,6,2.3,2.15,1.85,1.85,7811,2019,1
ICA+ICA+SAN JUAN BAUTISTA,1,34,435,10,1,11,6,60,2,42,232,30,15,4,1.79,1.64,1.41,1.38,15246,2019,
ICA+ICA+SANTIAGO,1,27,700,20,1,4,12,10,2,19,90,90,22,5,2.05,2.1,1.43,1.43,30262,2019,4
ICA+ICA+SUBTANJALLA,1,29,350,8,1,10,6,69,2,20,180,8,17,10,2.11,1.85,1.65,1.7,31277,2019,2
ICA+NASCA+EL INGENIO,1,16,338,61,1,10,5,50,2,20,90,0,6,0,2.13,2.05,1.7,1.67,3527,2019,
ICA+NASCA+MARCONA,1,39,606,9,1,6,12,120,6,60,105,60,26,18,1.68,1.71,0.86,0.86,17563,2019,5
ICA+NASCA+NASCA,1,94,930,50,1,11,6,60,2,61,78,15,33,20,1.71,1.61,1.36,1.29,29473,2019,1
ICA+NASCA+VISTA ALEGRE,1,32,540,10,1,10,12,120,2,54,450,270,12,5,1.85,1.94,1.32,1.38,23763,2019,1
ICA+PALPA+PALPA,1,43,591,13,1,11,6,95,1,15,147,19,2,1,1.33,1.25,1,1,8589,2019,1
ICA+PISCO+HUMAY,1,18,580,20,1,10,5,51,0,0,62,18,19,7,1.74,2.04,1.34,1.23,5811,2019,1
ICA+PISCO+INDEPENDENCIA,1,21,246,3,1,10,9,123,1,24,180,60,12,2,1.4,1.7,1.2,1.2,14357,2019,3
ICA+PISCO+PARACAS,1,22,315,15,1,20,4,41,1,19,30,30,38,13,2.3,2.3,1.5,1.5,8472,2019,
ICA+PISCO+PISCO,2,217,1644,27,1,18,15,182,4,48,260,12,38,30,1.83,1.77,1.3,1.35,76406,2019,20
ICA+PISCO+SAN ANDRES,1,38,272,12,1,11,4,10,0,0,90,60,6,5,1.68,1.52,1.2,1.2,15742,2019,6
ICA+PISCO+SAN CLEMENTE,1,50,287,40,1,18,0,0,0,0,45,10,14,4,1.77,1.63,1.23,1.21,27985,2019,5
ICA+PISCO+TUPAC AMARU INCA,1,20,208,19,1,11,2,23,0,0,180,60,14,10,1.76,1.58,1.22,1.24,19173,2019,7
JUNIN+CHANCHAMAYO+CHANCHAMAYO,1,63,788,49,1,11,8,94,3,340,240,90,26,9,1.71,1.67,1.39,1.27,28984,2019,3
JUNIN+CHANCHAMAYO+PERENE,1,26,133,61,1,8,5,67,0,0,240,60,38,10,1.84,1.65,1.58,1.58,59984,2019,5
JUNIN+CHANCHAMAYO+PICHANAQUI,1,90,1086,23,1,11,11,167,0,0,840,180,28,3,1.83,1.81,1.38,1.38,43511,2019,7
JUNIN+CHANCHAMAYO+SAN LUIS DE SHUARO,1,20,201,23,1,10,20,10,0,0,13,4,3,3,1.77,1.84,1.57,1.55,4151,2019,
JUNIN+CHANCHAMAYO+SAN RAMON,1,56,1297,48,1,20,6,87,0,0,480,40,12,3,1.58,1.42,1.32,1.37,29194,2019,3
JUNIN+CHUPACA+CHUPACA,1,153,614,51,1,23,24,1126,29,290,172,540,28,10,1.76,1.92,1.28,1.28,21574,2019,2
JUNIN+CONCEPCION+COMAS,1,27,240,9,0,0,0,0,0,0,0,0,2,2,2.15,1.75,1.92,1.88,5547,2019,
JUNIN+CONCEPCION+CONCEPCION,1,96,504,33,1,41,18,180,1,6,960,30,21,8,1.74,1.92,1.44,1.38,16631,2019,
JUNIN+CONCEPCION+ORCOTUNA,1,34,638,25,1,18,0,0,0,0,14,0,1,2,2.08,1.67,1.5,1.42,5142,2019,
JUNIN+HUANCAYO+CHILCA,1,234,258,16,1,20,20,300,2,300,270,180,34,16,1.85,1.69,1.4,1.38,98573,2019,6
JUNIN+HUANCAYO+CHONGOS ALTO,1,22,456,22,1,7,3,56,0,0,7,0,2,1,1.98,2,1.77,1.75,1540,2019,
JUNIN+HUANCAYO+EL TAMBO,1,194,500,22,1,11,79,790,2,60,32,150,81,18,1.81,1.74,1.44,1.49,173882,2019,11
JUNIN+HUANCAYO+HUANCAYO,1,236,452,63,1,11,61,788,2,44,2250,270,90,28,1.91,1.78,1.48,1.47,123748,2019,11
JUNIN+HUANCAYO+HUAYUCACHI,1,67,342,40,1,13,12,161,4,74,150,0,9,0,1.81,1.62,1.38,1.33,10705,2019,
JUNIN+HUANCAYO+SAN AGUSTIN,1,49,340,24,1,11,6,26,4,27,397,73,13,6,1.66,1.97,1.24,1.21,17885,2019,
JUNIN+HUANCAYO+SAN JERONIMO DE TUNAN,1,46,327,23,1,30,25,335,3,50,17,6,11,5,1.71,1.59,1.39,1.53,12772,2019,
JUNIN+HUANCAYO+SANTO DOMINGO DE ACOBAMBA,1,28,240,20,0,0,0,0,0,0,24,0,6,0,2.17,2.18,1.68,1.74,6547,2019,
JUNIN+HUANCAYO+SAPALLANGA,1,60,520,12,1,8,6,69,1,10,240,30,7,3,2,1.76,1.48,1.43,24193,2019,
JUNIN+HUANCAYO+SICAYA,1,58,260,23,1,10,0,0,0,0,137,0,6,0,2.02,1.82,1.47,1.59,20503,2019,
JUNIN+JAUJA+ACOLLA,1,21,279,18,1,12,5,60,3,10,255,0,3,0,2,0.76,1.24,1.26,6267,2019,
JUNIN+JAUJA+APATA,1,31,441,9,1,11,0,0,0,0,30,3,5,6,2.1,1.96,2.12,2.12,4625,2019,
JUNIN+JAUJA+CANCHAYLLO,1,20,176,81,1,0,0,0,0,0,6,0,10,0,1.94,1.9,1.46,1.38,1703,2019,
JUNIN+JAUJA+JAUJA,1,110,758,39,1,10,20,220,2,20,270,150,12,6,2,1.93,1.4,1.43,19710,2019,
JUNIN+JAUJA+SINCOS,1,31,400,23,1,11,1,10,0,0,450,15,9,0,1.81,1.88,1.35,1.36,4247,2019,
JUNIN+JUNIN+CARHUAMAYO,1,23,136,13,1,4,5,58,1,5,20,12,5,0,1.79,1.83,1.24,1.41,6699,2019,
JUNIN+JUNIN+JUNIN,1,36,260,39,1,4,4,40,1,10,5,7,8,2,2.07,2.26,1.5,1.53,11346,2019,
JUNIN+JUNIN+ULCUMAYO,1,23,120,9,1,11,1,10,1,10,17,0,2,0,1.76,2.19,1.37,1.38,4106,2019,
JUNIN+SATIPO+MAZAMARI,1,39,350,19,1,27,2,20,2,2,300,30,16,4,1.84,2,1.47,1.52,42212,2019,3
JUNIN+SATIPO+PANGOA,1,47,1600,30,1,12,15,150,2,24,330,60,25,9,1.44,1.74,1.13,1.15,63895,2019,1
JUNIN+SATIPO+SATIPO,1,95,602,47,1,12,0,0,0,0,270,12,46,18,1.72,1.65,1.56,1.47,42214,2019,3
JUNIN+TARMA+ACOBAMBA,1,14,186,95,1,10,13,132,1,12,20,0,2,2,1.79,2,1.14,1.14,9683,2019,
JUNIN+TARMA+HUASAHUASI,1,16,87,35,1,10,3,35,0,0,150,10,5,1,2.15,2.05,1.81,1.77,10157,2019,
JUNIN+TARMA+PALCA,1,18,152,20,1,22,8,94,0,0,87,22,1,3,1.93,1.93,1.66,1.56,5953,2019,
JUNIN+TARMA+TARMA,1,77,714,100,1,11,6,60,0,0,270,90,20,5,1.89,1.8,1.33,1.33,50739,2019,1
JUNIN+YAULI+LA OROYA,1,97,1000,81,1,11,20,200,2,13,270,180,17,5,2.03,2,1.72,1.72,14067,2019,1
JUNIN+YAULI+MOROCOCHA,1,25,540,4,1,36,1,12,1,10,210,15,12,4,2.27,2.18,1.72,1.76,5280,2019,
LA LIBERTAD+ASCOPE+ASCOPE,1,18,229,24,1,11,8,128,1,52,300,90,10,2,2,1.7,1.35,1.39,6865,2019,18
LA LIBERTAD+ASCOPE+CASA GRANDE,2,41,700,70,2,18,8,61,4,18,83,60,25,3,1.82,1.72,1.49,1.49,29803,2019,64
LA LIBERTAD+ASCOPE+CHICAMA,3,45,960,94,3,25,5,55,1,10,104,50,9,0,1.91,1.78,1.5,1.34,15979,2019,14
LA LIBERTAD+ASCOPE+CHOCOPE,1,25,180,26,1,11,3,35,0,0,310,20,3,6,2,1.58,1.32,1.32,9831,2019,8
LA LIBERTAD+ASCOPE+MAGDALENA DE CAO,1,14,129,30,1,11,2,16,1,7,100,0,2,0,1.83,1.64,1.43,1,2685,2019,2
LA LIBERTAD+ASCOPE+PAIJAN,1,50,170,1,1,11,23,10,0,0,450,90,16,9,2.09,1.77,1.77,1.67,28396,2019,32
LA LIBERTAD+ASCOPE+RAZURI,1,14,155,27,1,6,7,89,2,25,88,46,7,5,2,1.72,1.45,1.48,9322,2019,6
LA LIBERTAD+ASCOPE+SANTIAGO DE CAO,2,30,1095,65,2,7,6,119,1,13,106,90,13,10,1.91,1.67,1.53,1.49,19950,2019,11
LA LIBERTAD+BOLIVAR+BAMBAMARCA,1,9,258,55,0,2,2,24,0,0,35,0,6,0,2.29,2.06,2.22,2.21,3187,2019,
LA LIBERTAD+BOLIVAR+BOLIVAR,1,12,395,44,0,3,0,0,0,0,240,0,1,0,1.76,1.64,1.29,1.39,5006,2019,
LA LIBERTAD+BOLIVAR+UCHUMARCA,1,12,70,55,0,0,0,0,0,0,120,0,1,2,1.95,2,1.5,1.45,2432,2019,
LA LIBERTAD+CHEPEN+CHEPEN,2,81,2009,113,2,18,6,10,0,0,140,44,30,4,1.92,1.77,1.27,1.39,48644,2019,48
LA LIBERTAD+CHEPEN+PACANGA,2,48,593,83,2,9,1,10,0,0,240,98,19,0,2.32,2.21,1.68,1.58,24114,2019,5
LA LIBERTAD+CHEPEN+PUEBLO NUEVO,1,24,161,34,1,11,2,31,1,1,180,8,18,3,2,2.17,1.56,1.56,12732,2019,2
LA LIBERTAD+GRAN CHIMU+CASCAS,2,40,610,43,2,14,5,198,2,20,222,0,8,0,2.11,1.95,1.61,1.61,14331,2019,
LA LIBERTAD+GRAN CHIMU+LUCMA,1,11,114,11,0,3,0,0,0,0,12,0,6,0,2.54,2,1.92,1.92,4932,2019,
LA LIBERTAD+GRAN CHIMU+MARMOT,1,13,163,2,0,6,0,0,0,0,60,0,2,0,2.11,2.31,1.96,1.96,2555,2019,
LA LIBERTAD+GRAN CHIMU+SAYAPULLO,1,15,120,12,1,3,0,0,0,0,90,0,10,0,1.75,1.77,1.43,1.4,6620,2019,
LA LIBERTAD+JULCAN+CARABAMBA,1,13,360,46,0,3,1,11,0,0,12,0,8,1,1.95,1.64,1.45,1.69,6930,2019,1
LA LIBERTAD+JULCAN+JULCAN,1,13,855,19,1,11,0,0,0,0,12,2,13,3,2.07,2.13,1.47,1.53,12776,2019,1
LA LIBERTAD+OTUZCO+AGALLPAMPA,1,16,175,30,1,0,1,10,0,0,61,0,1,0,1.81,1.71,1.45,1.39,10354,2019,1
LA LIBERTAD+OTUZCO+CHARAT,2,27,814,68,2,5,3,36,0,0,284,0,9,0,1.66,1.65,1.15,1.06,2612,2019,
LA LIBERTAD+OTUZCO+HUARANCHAL,1,14,85,32,0,2,0,0,0,0,0,0,4,0,1.87,1.92,2.04,2,4190,2019,
LA LIBERTAD+OTUZCO+MACHE,1,10,480,42,1,5,1,12,2,12,32,0,7,0,1.83,1.23,1.41,1.38,2894,2019,
LA LIBERTAD+OTUZCO+OTUZCO,2,46,1050,145,2,4,4,47,0,0,271,0,20,3,1.85,1.91,1.59,1.59,26702,2019,16
LA LIBERTAD+OTUZCO+SALPO,1,13,140,84,1,6,0,0,0,0,28,0,10,0,2.05,1.68,1.39,1.37,6534,2019,
LA LIBERTAD+OTUZCO+SINSICAP,1,17,392,41,0,3,0,0,0,0,4,0,2,0,2.38,2.27,2.21,2.21,7597,2019,
LA LIBERTAD+OTUZCO+USQUIL,1,16,960,13,1,10,1,15,0,0,9,65,6,1,2.5,2.78,1.67,1.67,23245,2019,1
LA LIBERTAD+PACASMAYO+GUADALUPE,2,43,660,39,2,22,0,0,0,0,186,54,36,10,1.6,1.64,1.5,1.53,43508,2019,28
LA LIBERTAD+PACASMAYO+JEQUETEPEQUE,1,18,279,47,1,7,0,0,0,0,180,0,2,1,2.53,2.53,1.8,1.8,4498,2019,1
LA LIBERTAD+PACASMAYO+PACASMAYO,1,62,321,30,1,8,14,150,0,0,180,60,16,7,1.79,1.62,1.48,1.36,31619,2019,62
LA LIBERTAD+PACASMAYO+SAN JOSE,1,19,230,75,1,10,3,10,0,0,180,0,16,0,2.27,2,2,1.91,12604,2019,4
LA LIBERTAD+PACASMAYO+SAN PEDRO DE LLOC,1,23,195,24,1,4,13,15,4,15,6,48,19,8,2.04,1.98,1.58,1.68,19081,2019,11
LA LIBERTAD+PATAZ+CHILLIA,1,9,300,8,1,0,0,0,0,0,6,0,12,0,2.23,1.61,1.76,1.67,12978,2019,
LA LIBERTAD+PATAZ+PARCOY,2,34,549,10,2,3,0,0,0,0,29,0,11,0,1.75,2.03,1.89,1.89,20753,2019,4
LA LIBERTAD+PATAZ+PATAZ,2,32,820,32,2,10,0,0,0,0,330,4,24,4,2.04,1.9,1.68,1.64,10482,2019,
LA LIBERTAD+PATAZ+TAYABAMBA,1,19,343,14,1,9,0,0,0,0,180,62,21,1,2.06,2.39,1.61,1.61,13871,2019,3
LA LIBERTAD+SANCHEZ CARRION+CURGOS,1,12,138,34,1,12,0,0,0,0,35,0,12,0,1.99,2.19,1.71,1.74,8748,2019,
LA LIBERTAD+SANCHEZ CARRION+HUAMACHUCO,1,62,1005,15,1,12,64,100,0,0,420,180,74,11,1.8,2.21,1.73,1.75,77443,2019,19
LA LIBERTAD+SANCHEZ CARRION+SARIN,1,13,459,22,1,4,0,0,0,0,6,0,1,0,1.54,1.52,1.43,1.44,9847,2019,
LA LIBERTAD+SANTIAGO DE CHUCO+ANGASMARCA,1,12,372,5,1,9,0,0,0,0,30,0,2,2,1.75,1.9,1.3,1.18,5067,2019,
LA LIBERTAD+SANTIAGO DE CHUCO+CACHICADAN,1,10,215,40,0,6,0,0,0,0,270,0,2,1,1.55,1.59,1.55,1.47,5851,2019,
LA LIBERTAD+SANTIAGO DE CHUCO+QUIRUVILCA,2,26,329,143,2,3,0,0,0,0,79,0,15,6,1.92,1.68,1.67,1.7,13727,2019,1
LA LIBERTAD+SANTIAGO DE CHUCO+SANTIAGO DE CHUCO,1,24,268,28,1,5,5,70,6,58,1860,0,8,1,2,2.15,1.41,1.3,20325,2019,1
LA LIBERTAD+TRUJILLO+EL PORVENIR,3,219,914,61,3,21,86,953,2,10,1211,152,36,6,1.92,1.65,1.49,1.51,220624,2019,244
LA LIBERTAD+TRUJILLO+FLORENCIA DE MORA,1,74,1949,3,1,10,30,390,2,35,450,16,34,0,1.79,1.63,1.46,1.48,38475,2019,29
LA LIBERTAD+TRUJILLO+HUANCHACO,2,137,1966,6,2,14,135,1360,19,300,240,90,61,17,1.92,1.85,1.55,1.46,82792,2019,45
LA LIBERTAD+TRUJILLO+LA ESPERANZA,2,181,915,16,2,18,201,2186,43,351,1448,101,77,14,1.84,1.79,1.48,1.5,217756,2019,205
LA LIBERTAD+TRUJILLO+LAREDO,1,55,372,50,1,8,7,80,0,0,13,50,16,7,1.92,1.92,1.17,1.38,42144,2019,29
LA LIBERTAD+TRUJILLO+MOCHE,1,60,698,36,1,3,16,180,0,0,1200,90,5,8,2.02,1.98,1.61,1.57,41610,2019,11
LA LIBERTAD+TRUJILLO+POROTO,1,15,200,43,1,8,3,20,0,0,90,0,2,0,2.06,1.56,1.82,1.83,3900,2019,1
LA LIBERTAD+TRUJILLO+SALAVERRY,2,68,583,19,2,7,10,100,2,27,495,58,13,6,1.94,1.97,1.31,1.31,21866,2019,9
LA LIBERTAD+TRUJILLO+SIMBAL,1,20,169,5,0,6,4,54,1,15,150,0,2,0,1.91,2.04,1.43,1.43,4482,2019,
LA LIBERTAD+TRUJILLO+TRUJILLO,3,273,2879,134,3,31,66,680,19,55,1690,380,912,255,1.93,1.82,1.5,1.53,340582,2019,233
LA LIBERTAD+TRUJILLO+VICTOR LARCO HERRERA,1,68,334,40,1,11,9,219,3,43,24,11,108,18,1.95,1.92,1.49,1.52,76283,2019,10
LA LIBERTAD+VIRU+CHAO,1,36,700,23,1,3,13,190,1,9,78,90,40,13,2,1.87,1.67,1.6,37511,2019,12
LA LIBERTAD+VIRU+GUADALUPITO,1,23,300,20,1,0,3,45,0,0,4,0,3,1,2.1,1.67,1.52,1.52,7536,2019,
LA LIBERTAD+VIRU+VIRU,2,71,625,50,2,17,9,59,2,20,400,80,52,8,1.83,1.79,1.19,1.19,57500,2019,43
LAMBAYEQUE+CHICLAYO+CAYALTI,1,27,124,109,1,1,0,0,0,0,2,16,9,7,1.95,1.86,1.33,1.33,15446,2019,1
LAMBAYEQUE+CHICLAYO+CHICLAYO,4,445,3087,129,4,46,1333,16746,45,2082,2054,146,124,29,1.97,1.61,1.57,1.61,285907,2019,128
LAMBAYEQUE+CHICLAYO+CHONGOYAPE,2,42,2020,105,2,13,30,20,0,0,9,0,16,0,2,1.76,1.81,1.74,19441,2019,1
LAMBAYEQUE+CHICLAYO+ETEN,1,28,623,23,1,14,24,243,1,12,150,0,4,0,2.13,1.29,1.1,1.1,12896,2019,1
LAMBAYEQUE+CHICLAYO+ETEN PUERTO,1,27,293,20,1,5,14,156,1,10,3317,0,7,5,2.39,2.17,1.24,1.34,2422,2019,
LAMBAYEQUE+CHICLAYO+JOSE LEONARDO ORTIZ,2,277,1588,49,2,89,2065,1143,47,540,450,97,34,13,1.89,1.55,1.46,1.47,164974,2019,18
LAMBAYEQUE+CHICLAYO+LA VICTORIA,1,105,2008,49,1,15,4,120,1,27,173,70,21,5,1.98,1.77,1.5,1.5,97223,2019,8
LAMBAYEQUE+CHICLAYO+LAGUNAS,1,26,139,48,1,9,55,550,1,10,14,0,8,0,2.63,1.95,1.37,1.37,10696,2019,
LAMBAYEQUE+CHICLAYO+MONSEFU,1,55,400,23,1,13,241,241,4,21,210,30,8,3,1.87,1.66,1.44,1.47,34856,2019,5
LAMBAYEQUE+CHICLAYO+NUEVA ARICA,1,14,124,49,1,10,22,220,0,0,100,0,6,1,1.84,1.53,1.31,1.28,2526,2019,
LAMBAYEQUE+CHICLAYO+OYOTUN,1,19,275,87,1,12,14,140,1,68,150,0,2,3,1.61,1.56,1.5,1.5,8470,2019,1
LAMBAYEQUE+CHICLAYO+PATAPO,2,53,623,40,2,31,45,450,1,10,819,0,4,1,1.83,1.62,1.49,1.47,24648,2019,2
LAMBAYEQUE+CHICLAYO+PICSI,1,30,397,1,1,10,34,374,0,0,210,0,4,0,1.84,1.68,1.68,1.74,14127,2019,
LAMBAYEQUE+CHICLAYO+PIMENTEL,1,49,230,20,1,9,121,1210,9,90,105,0,44,5,1.9,1.75,1.69,1.57,50505,2019,7
LAMBAYEQUE+CHICLAYO+POMALCA,1,55,450,55,1,15,0,0,0,0,810,180,22,11,1.87,1.87,1.46,1.52,26664,2019,3
LAMBAYEQUE+CHICLAYO+PUCALA,1,27,250,17,1,15,8,15,1,18,11,0,2,0,2.54,2.46,2.04,2.04,9035,2019,1
LAMBAYEQUE+CHICLAYO+REQUE,1,32,371,33,1,12,25,250,2,32,120,76,8,0,2.12,1.37,1.23,1.23,17304,2019,
LAMBAYEQUE+CHICLAYO+SANA,2,37,718,39,2,23,30,530,4,74,245,30,3,3,2.44,1.92,1.64,1.64,12450,2019,1
LAMBAYEQUE+CHICLAYO+SANTA ROSA,1,27,400,22,1,15,57,570,1,10,33,0,12,0,2.07,1.23,1.13,1.13,13592,2019,
LAMBAYEQUE+CHICLAYO+TUMAN,2,66,793,100,2,22,72,877,11,130,450,75,14,4,2,1.51,1.49,1.43,29619,2019,5
LAMBAYEQUE+FERRENAFE+CANARIS,1,6,284,7,0,3,0,0,0,0,60,0,6,0,2.12,1.87,1.5,1.52,12300,2019,
LAMBAYEQUE+FERRENAFE+FERRENAFE,1,88,3519,59,1,11,152,10,10,41,90,30,10,6,2.18,1.72,1.62,1.61,37249,2019,2
LAMBAYEQUE+FERRENAFE+INCAHUASI,2,20,481,33,2,16,4,80,0,0,111,0,2,0,1.87,1.95,1.47,1.44,15025,2019,
LAMBAYEQUE+FERRENAFE+PITIPO,1,18,310,25,1,5,19,221,1,12,240,0,26,2,2.5,2.1,2,2,21797,2019,
LAMBAYEQUE+LAMBAYEQUE+ILLIMO,1,21,114,52,1,11,40,400,2,20,1340,0,1,0,2.38,2.2,1.7,1.64,9436,2019,1
LAMBAYEQUE+LAMBAYEQUE+JAYANCA,1,23,320,50,1,3,0,0,0,0,150,6,6,2,2,2,1.68,1.72,19575,2019,
LAMBAYEQUE+LAMBAYEQUE+LAMBAYEQUE,2,126,1067,44,2,32,289,2411,12,171,270,150,18,6,2.1,1.9,1.78,1.72,78343,2019,12
LAMBAYEQUE+LAMBAYEQUE+MOCHUMI,1,20,534,50,1,10,28,280,0,0,16,0,20,0,2.43,2.78,2.1,2.07,19596,2019,2
LAMBAYEQUE+LAMBAYEQUE+MORROPE,2,41,491,38,2,23,141,1410,2,21,270,90,28,8,1.82,1.68,1,0.93,54514,2019,1
LAMBAYEQUE+LAMBAYEQUE+MOTUPE,1,33,599,64,1,12,72,798,2,55,230,90,11,3,2.18,2,1.64,1.64,33008,2019,1
LAMBAYEQUE+LAMBAYEQUE+OLMOS,1,36,846,38,1,23,70,760,0,0,13,90,19,4,2.18,1.82,1.77,1.82,53834,2019,
LAMBAYEQUE+LAMBAYEQUE+PACORA,1,16,173,31,1,11,45,532,1,10,270,0,5,0,1.78,1.65,1.46,1.44,8641,2019,
LAMBAYEQUE+LAMBAYEQUE+SALAS,2,26,575,71,2,3,45,250,0,0,121,0,8,1,2.29,2.43,1.76,1.57,13522,2019,
LAMBAYEQUE+LAMBAYEQUE+SAN JOSE,1,22,160,20,1,13,47,730,2,29,210,0,5,0,1.97,1.76,1.65,1.59,17206,2019,5
LAMBAYEQUE+LAMBAYEQUE+TUCUME,1,21,120,33,1,11,0,0,0,0,168,75,6,6,2.25,1.9,1.45,1.45,23915,2019,
LIMA+BARRANCA+BARRANCA,1,108,683,25,1,10,12,135,2,26,58,5,69,23,1.83,1.68,1.6,1.6,70971,2019,30
LIMA+BARRANCA+PARAMONGA,1,68,430,7,1,9,3,34,2,17,510,60,17,8,1.98,1.63,1.27,1.29,22007,2019,5
LIMA+BARRANCA+PATIVILCA,1,42,284,84,1,9,30,310,2,20,18,5,11,10,1.66,1.66,1.54,1.61,17797,2019,2
LIMA+BARRANCA+SUPE,1,37,129,49,1,10,39,470,4,40,150,1,31,29,1.73,1.68,1.37,1.34,24930,2019,7
LIMA+BARRANCA+SUPE PUERTO,1,29,140,46,1,38,2,8,6,3,20,20,7,5,2.74,2.53,2,2,13257,2019,2
LIMA+CAJATAMBO+GORGOR,1,10,540,27,1,0,0,0,0,0,0,0,12,0,2.15,1.98,1.6,1.6,1650,2019,
LIMA+CANETE+ASIA,1,26,459,30,1,13,25,250,0,0,150,0,91,23,2.48,2.2,1.69,1.7,10249,2019,
LIMA+CANETE+CALANGO,1,13,139,16,1,4,5,58,1,15,12,0,12,0,1.93,1.8,1.57,1.47,2385,2019,1
LIMA+CANETE+CERRO AZUL,1,25,343,22,1,8,3,32,0,0,131,48,30,13,2.26,2.39,1.76,1.76,8453,2019,1
LIMA+CANETE+CHILCA,1,47,324,10,1,9,12,132,1,10,90,90,32,6,1.76,1.63,1.51,1.51,22605,2019,12
LIMA+CANETE+IMPERIAL,1,61,442,40,1,10,26,319,3,22,31,50,28,8,1.96,1.84,1.8,1.83,38239,2019,6
LIMA+CANETE+LUNAHUANA,1,21,304,71,1,9,9,124,4,44,270,0,8,6,2.24,2.15,1.54,1.63,4103,2019,2
LIMA+CANETE+MALA,1,47,303,42,1,10,8,80,2,25,300,62,19,27,1.83,1.75,1.39,1.36,33062,2019,13
LIMA+CANETE+NUEVO IMPERIAL,2,59,962,72,2,18,38,428,4,51,199,30,23,8,1.9,1.75,1.4,1.4,27242,2019,4
LIMA+CANETE+PACARAN,1,11,427,46,1,4,4,40,2,20,942,0,4,0,1.92,1.92,1.75,1.77,1677,2019,
LIMA+CANETE+QUILMANA,1,24,690,24,1,9,4,60,0,0,82,22,17,6,2.03,2.1,1.77,1.72,15944,2019,2
LIMA+CANETE+SAN ANTONIO,1,25,322,17,1,7,4,44,0,0,240,0,19,14,2.42,2.58,1.58,1.67,4513,2019,
LIMA+CANETE+SAN LUIS,1,26,338,32,1,10,10,100,3,30,210,8,11,2,2.1,2.02,1.77,1.75,13012,2019,1
LIMA+CANETE+SAN VICENTE DE CANETE,1,60,260,37,1,17,20,231,3,34,25,20,76,31,2,1.97,1.61,1.6,57964,2019,27
LIMA+CANETE+ZUNIGA,1,12,256,28,1,10,1,11,2,20,270,0,5,0,2.13,1.76,1.31,1.34,1350,2019,
LIMA+CANTA+CANTA,1,29,483,63,1,10,11,110,3,15,162,0,5,0,2.13,1.4,1.27,1.27,2291,2019,
LIMA+CANTA+SANTA ROSA DE QUIVES,1,40,209,35,1,6,18,180,1,27,90,30,3,3,1.76,1.65,1.22,1.2,5893,2019,
LIMA+HUARAL+AUCALLAMA,1,31,183,22,1,8,8,40,0,0,360,90,32,23,1.78,1.78,1.67,1.56,20599,2019,
LIMA+HUARAL+CHANCAY,1,57,3048,39,1,13,5,65,2,17,545,40,41,16,1.92,1.74,1.45,1.45,59594,2019,3
LIMA+HUARAL+HUARAL,1,88,224,8,1,9,0,0,0,0,26,50,75,48,1.96,1.91,1.57,1.62,103183,2019,5
LIMA+HUAROCHIRI+CHICLA,1,19,380,30,1,7,4,64,0,0,110,60,15,2,1.93,1.82,1.5,1.47,3439,2019,
LIMA+HUAROCHIRI+HUAROCHIRI,1,19,608,17,0,5,1,12,0,0,48,0,6,0,1.89,1.95,1.57,1.53,1282,2019,
LIMA+HUAROCHIRI+MATUCANA,1,33,450,53,1,9,7,70,1,10,150,90,27,4,1.89,1.81,1.47,1.47,4057,2019,
LIMA+HUAROCHIRI+RICARDO PALMA,1,39,260,76,1,8,17,170,1,20,10,0,30,9,1.54,1.78,1.77,1.95,6573,2019,
LIMA+HUAROCHIRI+SAN DAMIAN,1,21,198,70,1,2,1,10,0,0,150,0,2,0,2.39,2.26,2.18,2.21,1159,2019,
LIMA+HUAROCHIRI+SAN LORENZO DE QUINTI,1,11,451,102,0,8,0,0,0,0,105,0,2,0,1.45,1.63,1.35,1.38,1165,2019,
LIMA+HUAROCHIRI+SAN MATEO,1,24,96,40,1,6,5,76,3,33,240,0,7,0,2.11,2.26,1.47,1.53,4018,2019,
